Région,Sexe,Période,ICD-10,Type cancer,Nombre de cas ,Taux brut , Taux standardisé ,lower 95% ,upper IC 95%
Suisse,Hommes,1991,"C47,C49",Tissus mous,81,2.5,2.5,1.8,3.3
Suisse,Hommes,1991,C50,Sein,26,0.8,0.8,0.4,1.3
Suisse,Hommes,1991,C61,Prostate,3364,101.3,94.3,89.8,99
Suisse,Hommes,1991,C62,Testicule,355,10.7,9.6,8.2,11.1
Suisse,Hommes,1991,C64,Rein,414,12.5,12.4,10.8,14.2
Suisse,Hommes,1991,C67,Vessie,791,23.8,22.7,20.5,25
Suisse,Hommes,1991,"C65-66,C68",Autres organes urinaires,55,1.7,1.5,1,2.2
Suisse,Hommes,1991,C69,Œil,44,1.3,1.3,0.8,2
Suisse,Hommes,1991,C70-72,Cerveau et Système nerveux central,264,8,7.9,6.6,9.4
Suisse,Hommes,1991,C73,Thyroïde,91,2.7,2.7,1.9,3.6
Suisse,Hommes,1991,C81,Lymphome de Hodgkin,118,3.6,3.3,2.5,4.3
Suisse,Hommes,1991,"C82-86,C96",Lymphome non hodgkinien,574,17.3,16.4,14.6,18.4
Suisse,Hommes,1991,C90,Myélome multiple,211,6.4,6.3,5.1,7.6
Suisse,Hommes,1991,C91-95,Leucémie,451,13.6,13.3,11.6,15.2
Suisse,Hommes,1991,C91,Leucémie lymphoïde,235,7.1,7.1,5.9,8.5
Suisse,Hommes,1991,C92-94,Leucémie myéloïde,207,6.2,6,4.9,7.2
Suisse,Hommes,1991,Other_C-code,Autres localisations du cancer,659,19.8,18.8,16.8,20.9
Suisse,Hommes,1991,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),15133,455.9,438.1,428.3,448
Suisse,Hommes,1992,C00-14,Cavité buccale et pharynx,629,18.7,18.9,16.9,21
Suisse,Hommes,1992,C15,Œsophage,272,8.1,8.2,7,9.7
Suisse,Hommes,1992,C16,Estomac,568,16.9,16.2,14.4,18.1
Suisse,Hommes,1992,C17,Intestin grêle,70,2.1,2,1.4,2.8
Suisse,Hommes,1992,C18-20,Côlon et Rectum,1772,52.8,50.3,47.1,53.7
Suisse,Hommes,1992,C21,Anus et Canal anal,31,0.9,0.9,0.5,1.5
Suisse,Hommes,1992,C22,Foie,348,10.4,10,8.6,11.5
Suisse,Hommes,1992,C23-24,Vésicule et voies biliaires extra-hépat.,97,2.9,2.8,2,3.7
Suisse,Hommes,1992,C25,Pancréas,448,13.3,12.7,11.1,14.4
Suisse,Hommes,1992,C32,Larynx,206,6.1,6.3,5.2,7.5
Suisse,Hommes,1992,C33-34,"Poumon, Bronches, Trachée",2473,73.6,71.8,67.9,75.8
Suisse,Hommes,1992,"C38.4,C45.0",Plèvre,80,2.4,2.3,1.7,3.2
Suisse,Hommes,1992,C40-41,"Os, Articulations, Cartilage",67,2,2,1.4,2.8
Suisse,Hommes,1992,C43,Mélanome,580,17.3,16.5,14.7,18.5
Suisse,Hommes,1992,"C47,C49",Tissus mous,100,3,2.9,2.1,3.8
Suisse,Hommes,1992,C50,Sein,29,0.9,0.8,0.5,1.4
Suisse,Hommes,1992,C61,Prostate,3579,106.6,98.5,94,103.2
Suisse,Hommes,1992,C62,Testicule,366,10.9,9.8,8.4,11.3
Suisse,Hommes,1992,C64,Rein,460,13.7,13.5,11.8,15.3
Suisse,Hommes,1992,C67,Vessie,745,22.2,21.2,19.1,23.5
Suisse,Hommes,1992,"C65-66,C68",Autres organes urinaires,62,1.9,1.7,1.2,2.5
Suisse,Hommes,1992,C69,Œil,35,1.1,1,0.6,1.6
Suisse,Hommes,1992,C70-72,Cerveau et Système nerveux central,222,6.6,6.5,5.4,7.9
Suisse,Hommes,1992,C73,Thyroïde,93,2.8,2.6,1.9,3.5
Suisse,Hommes,1992,C81,Lymphome de Hodgkin,110,3.3,3.1,2.3,4
Suisse,Hommes,1992,"C82-86,C96",Lymphome non hodgkinien,582,17.3,16.5,14.7,18.5
Suisse,Hommes,1992,C90,Myélome multiple,173,5.1,5,4,6.1
Suisse,Hommes,1992,C91-95,Leucémie,479,14.3,14,12.3,15.9
Suisse,Hommes,1992,C91,Leucémie lymphoïde,248,7.4,7.5,6.2,8.9
Suisse,Hommes,1992,C92-94,Leucémie myéloïde,217,6.5,6.2,5.1,7.4
Suisse,Hommes,1992,Other_C-code,Autres localisations du cancer,658,19.6,18.5,16.5,20.5
Suisse,Hommes,1992,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),15334,456.7,436.4,426.8,446.2
Suisse,Hommes,1993,C00-14,Cavité buccale et pharynx,656,19.4,19.3,17.4,21.4
Suisse,Hommes,1993,C15,Œsophage,263,7.7,7.6,6.4,8.9
Suisse,Hommes,1993,C16,Estomac,581,17.1,16.4,14.6,18.3
Suisse,Hommes,1993,C17,Intestin grêle,70,2.1,2,1.4,2.7
Suisse,Hommes,1993,C18-20,Côlon et Rectum,1982,58.5,55.7,52.4,59.3
Suisse,Hommes,1993,C21,Anus et Canal anal,30,0.9,0.9,0.5,1.5
Suisse,Hommes,1993,C22,Foie,303,9,8.8,7.5,10.3
Suisse,Hommes,1993,C23-24,Vésicule et voies biliaires extra-hépat.,117,3.4,3.2,2.4,4.1
Suisse,Hommes,1993,C25,Pancréas,330,9.7,9.4,8.1,10.9
Suisse,Hommes,1993,C32,Larynx,225,6.7,6.6,5.5,7.9
Suisse,Hommes,1993,C33-34,"Poumon, Bronches, Trachée",2444,72.1,70.7,66.9,74.7
Suisse,Hommes,1993,"C38.4,C45.0",Plèvre,95,2.8,2.8,2,3.7
Suisse,Hommes,1993,C40-41,"Os, Articulations, Cartilage",19,0.6,0.6,0.3,1
Suisse,Hommes,1993,C43,Mélanome,611,18,17.5,15.6,19.6
Suisse,Hommes,1993,"C47,C49",Tissus mous,118,3.5,3.3,2.6,4.3
Suisse,Hommes,1993,C50,Sein,20,0.6,0.6,0.3,1
Suisse,Hommes,1993,C61,Prostate,3649,107.7,99.1,94.6,103.8
Suisse,Hommes,1993,C62,Testicule,371,10.9,10,8.6,11.5
Suisse,Hommes,1993,C64,Rein,444,13.1,12.9,11.3,14.7
Suisse,Hommes,1993,C67,Vessie,802,23.7,22.4,20.3,24.7
Suisse,Hommes,1993,"C65-66,C68",Autres organes urinaires,74,2.2,2.1,1.4,2.8
Suisse,Hommes,1993,C69,Œil,42,1.2,1.2,0.7,1.8
Suisse,Hommes,1993,C70-72,Cerveau et Système nerveux central,269,7.9,7.9,6.7,9.4
Suisse,Hommes,1993,C73,Thyroïde,75,2.2,2.2,1.6,3
Suisse,Hommes,1993,C81,Lymphome de Hodgkin,116,3.4,3.2,2.4,4.1
Suisse,Hommes,1993,"C82-86,C96",Lymphome non hodgkinien,559,16.5,15.9,14.1,17.8
Suisse,Hommes,1993,C90,Myélome multiple,220,6.5,6.2,5.1,7.5
Suisse,Hommes,1993,C91-95,Leucémie,432,12.8,12.6,11,14.4
Suisse,Hommes,1993,C91,Leucémie lymphoïde,235,6.9,6.9,5.7,8.3
Suisse,Hommes,1993,C92-94,Leucémie myéloïde,195,5.7,5.6,4.6,6.9
Suisse,Hommes,1993,Other_C-code,Autres localisations du cancer,670,19.8,18.5,16.7,20.6
Suisse,Hommes,1993,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),15587,460,439.5,430,449.3
Suisse,Hommes,1994,C00-14,Cavité buccale et pharynx,646,18.9,18.9,16.9,21
Suisse,Hommes,1994,C15,Œsophage,320,9.4,9.2,7.9,10.7
Suisse,Hommes,1994,C16,Estomac,555,16.2,15.3,13.5,17.1
Suisse,Hommes,1994,C17,Intestin grêle,51,1.5,1.4,0.9,2.1
Suisse,Hommes,1994,C18-20,Côlon et Rectum,1887,55.2,52.2,49,55.6
Suisse,Hommes,1994,C21,Anus et Canal anal,32,0.9,0.9,0.5,1.4
Suisse,Hommes,1994,C22,Foie,336,9.8,9.6,8.3,11.2
Suisse,Hommes,1994,C23-24,Vésicule et voies biliaires extra-hépat.,109,3.2,3.1,2.3,4
Suisse,Hommes,1994,C25,Pancréas,456,13.4,12.7,11.1,14.4
Suisse,Hommes,1994,C32,Larynx,221,6.5,6.4,5.3,7.6
Suisse,Hommes,1994,C33-34,"Poumon, Bronches, Trachée",2328,68.1,65.6,62,69.4
Suisse,Hommes,1994,"C38.4,C45.0",Plèvre,71,2.1,2,1.4,2.8
Suisse,Hommes,1994,C40-41,"Os, Articulations, Cartilage",37,1.1,1.1,0.6,1.7
Suisse,Hommes,1994,C43,Mélanome,638,18.7,17.9,16,19.9
Suisse,Hommes,1994,"C47,C49",Tissus mous,112,3.3,3.1,2.3,4
Suisse,Hommes,1994,C50,Sein,44,1.3,1.2,0.8,1.8
Suisse,Hommes,1994,C61,Prostate,3863,113.1,104.1,99.5,108.8
Suisse,Hommes,1994,C62,Testicule,386,11.3,10.1,8.7,11.6
Suisse,Hommes,1994,C64,Rein,421,12.3,12.2,10.6,14
Suisse,Hommes,1994,C67,Vessie,786,23,21.7,19.7,24
Suisse,Hommes,1994,"C65-66,C68",Autres organes urinaires,50,1.5,1.4,0.9,2
Suisse,Hommes,1994,C69,Œil,39,1.1,1.1,0.7,1.7
Suisse,Hommes,1994,C70-72,Cerveau et Système nerveux central,230,6.7,6.6,5.5,7.9
Suisse,Hommes,1994,C73,Thyroïde,113,3.3,3.2,2.4,4.2
Suisse,Hommes,1994,C81,Lymphome de Hodgkin,97,2.8,2.7,2,3.6
Suisse,Hommes,1994,"C82-86,C96",Lymphome non hodgkinien,679,19.9,19,17,21.1
Suisse,Hommes,1994,C90,Myélome multiple,231,6.8,6.5,5.4,7.8
Suisse,Hommes,1994,C91-95,Leucémie,422,12.3,12,10.4,13.7
Suisse,Hommes,1994,C91,Leucémie lymphoïde,216,6.3,6.2,5.1,7.5
Suisse,Hommes,1994,C92-94,Leucémie myéloïde,198,5.8,5.6,4.5,6.8
Suisse,Hommes,1994,Other_C-code,Autres localisations du cancer,667,19.5,18.4,16.5,20.4
Suisse,Hommes,1994,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),15825,463.2,439.4,429.9,449.1
Suisse,Hommes,1995,C00-14,Cavité buccale et pharynx,682,19.8,19.8,17.8,21.9
Suisse,Hommes,1995,C15,Œsophage,297,8.6,8.6,7.3,10
Suisse,Hommes,1995,C16,Estomac,604,17.6,16.5,14.7,18.4
Suisse,Hommes,1995,C17,Intestin grêle,67,2,1.9,1.3,2.6
Suisse,Hommes,1995,C18-20,Côlon et Rectum,1730,50.3,47.5,44.5,50.7
Suisse,Hommes,1995,C21,Anus et Canal anal,26,0.8,0.7,0.4,1.2
Suisse,Hommes,1995,C22,Foie,368,10.7,10.2,8.8,11.7
Suisse,Hommes,1995,C23-24,Vésicule et voies biliaires extra-hépat.,127,3.7,3.5,2.7,4.5
Suisse,Hommes,1995,C25,Pancréas,400,11.6,10.8,9.4,12.4
Suisse,Hommes,1995,C32,Larynx,247,7.2,7.1,5.9,8.4
Suisse,Hommes,1995,C33-34,"Poumon, Bronches, Trachée",2384,69.3,66.9,63.2,70.7
Suisse,Hommes,1995,"C38.4,C45.0",Plèvre,83,2.4,2.3,1.6,3.1
Suisse,Hommes,1995,C40-41,"Os, Articulations, Cartilage",41,1.2,1.2,0.7,1.9
Suisse,Hommes,1995,C43,Mélanome,615,17.9,17.2,15.4,19.3
Suisse,Hommes,1995,"C47,C49",Tissus mous,121,3.5,3.2,2.5,4.1
Suisse,Hommes,1995,C50,Sein,20,0.6,0.5,0.3,1
Suisse,Hommes,1995,C61,Prostate,4030,117.2,108.2,103.5,112.9
Suisse,Hommes,1995,C62,Testicule,330,9.6,8.5,7.3,9.9
Suisse,Hommes,1995,C64,Rein,452,13.2,12.8,11.2,14.5
Suisse,Hommes,1995,C67,Vessie,765,22.3,20.9,18.8,23
Suisse,Hommes,1995,"C65-66,C68",Autres organes urinaires,50,1.5,1.4,0.9,2
Suisse,Hommes,1995,C69,Œil,35,1,1,0.6,1.6
Suisse,Hommes,1995,C70-72,Cerveau et Système nerveux central,309,9,8.8,7.4,10.2
Suisse,Hommes,1995,C73,Thyroïde,90,2.6,2.5,1.8,3.3
Suisse,Hommes,1995,C81,Lymphome de Hodgkin,92,2.7,2.6,1.9,3.4
Suisse,Hommes,1995,"C82-86,C96",Lymphome non hodgkinien,598,17.4,16.5,14.7,18.5
Suisse,Hommes,1995,C90,Myélome multiple,199,5.8,5.6,4.5,6.7
Suisse,Hommes,1995,C91-95,Leucémie,456,13.3,12.6,11,14.3
Suisse,Hommes,1995,C91,Leucémie lymphoïde,252,7.3,7,5.9,8.3
Suisse,Hommes,1995,C92-94,Leucémie myéloïde,200,5.8,5.5,4.5,6.6
Suisse,Hommes,1995,Other_C-code,Autres localisations du cancer,670,19.5,18.2,16.3,20.2
Suisse,Hommes,1995,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),15891,462.1,437.2,427.8,446.7
Suisse,Hommes,1996,C00-14,Cavité buccale et pharynx,641,18.6,18.2,16.3,20.1
Suisse,Hommes,1996,C15,Œsophage,237,6.9,6.6,5.5,7.8
Suisse,Hommes,1996,C16,Estomac,639,18.5,17.2,15.4,19.1
Suisse,Hommes,1996,C17,Intestin grêle,57,1.7,1.6,1.1,2.3
Suisse,Hommes,1996,C18-20,Côlon et Rectum,1935,56,52.6,49.5,55.9
Suisse,Hommes,1996,C21,Anus et Canal anal,28,0.8,0.8,0.5,1.3
Suisse,Hommes,1996,C22,Foie,396,11.5,10.9,9.5,12.4
Suisse,Hommes,1996,C23-24,Vésicule et voies biliaires extra-hépat.,113,3.3,3.1,2.3,3.9
Suisse,Hommes,1996,C25,Pancréas,426,12.3,11.6,10.1,13.2
Suisse,Hommes,1996,C32,Larynx,237,6.9,6.7,5.7,8
Suisse,Hommes,1996,C33-34,"Poumon, Bronches, Trachée",2433,70.5,67.2,63.7,70.9
Suisse,Hommes,1996,"C38.4,C45.0",Plèvre,115,3.3,3.2,2.4,4.1
Suisse,Hommes,1996,C40-41,"Os, Articulations, Cartilage",29,0.8,0.8,0.5,1.3
Suisse,Hommes,1996,C43,Mélanome,660,19.1,18,16.2,19.9
Suisse,Hommes,1996,"C47,C49",Tissus mous,135,3.9,3.7,2.9,4.7
Suisse,Hommes,1996,C50,Sein,27,0.8,0.7,0.4,1.2
Suisse,Hommes,1996,C61,Prostate,4118,119.2,108.8,104.3,113.5
Suisse,Hommes,1996,C62,Testicule,382,11.1,10,8.7,11.5
Suisse,Hommes,1996,C64,Rein,401,11.6,11.1,9.7,12.7
Suisse,Hommes,1996,C67,Vessie,830,24,22.2,20.2,24.4
Suisse,Hommes,1996,"C65-66,C68",Autres organes urinaires,86,2.5,2.4,1.7,3.2
Suisse,Hommes,1996,C69,Œil,13,0.4,0.4,0.2,0.8
Suisse,Hommes,1996,C70-72,Cerveau et Système nerveux central,253,7.3,7.2,6,8.5
Suisse,Hommes,1996,C73,Thyroïde,95,2.8,2.6,1.9,3.4
Suisse,Hommes,1996,C81,Lymphome de Hodgkin,124,3.6,3.5,2.7,4.4
Suisse,Hommes,1996,"C82-86,C96",Lymphome non hodgkinien,653,18.9,17.7,15.9,19.6
Suisse,Hommes,1996,C90,Myélome multiple,272,7.9,7.3,6.1,8.6
Suisse,Hommes,1996,C91-95,Leucémie,444,12.8,12.5,11,14.2
Suisse,Hommes,1996,C91,Leucémie lymphoïde,247,7.2,7.1,5.9,8.4
Suisse,Hommes,1996,C92-94,Leucémie myéloïde,184,5.3,5.1,4.1,6.2
Suisse,Hommes,1996,Other_C-code,Autres localisations du cancer,669,19.4,18,16.2,20
Suisse,Hommes,1996,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),16451,476.4,446.7,437.4,456.1
Suisse,Hommes,1997,C00-14,Cavité buccale et pharynx,706,20.4,19.8,17.9,21.8
Suisse,Hommes,1997,C15,Œsophage,305,8.8,8.4,7.2,9.7
Suisse,Hommes,1997,C16,Estomac,563,16.3,14.8,13.2,16.5
Suisse,Hommes,1997,C17,Intestin grêle,69,2,1.8,1.3,2.5
Suisse,Hommes,1997,C18-20,Côlon et Rectum,1896,54.8,50.5,47.4,53.7
Suisse,Hommes,1997,C21,Anus et Canal anal,33,0.9,0.9,0.5,1.4
Suisse,Hommes,1997,C22,Foie,442,12.8,12,10.6,13.5
Suisse,Hommes,1997,C23-24,Vésicule et voies biliaires extra-hépat.,109,3.2,2.9,2.2,3.7
Suisse,Hommes,1997,C25,Pancréas,414,12,11.1,9.7,12.6
Suisse,Hommes,1997,C32,Larynx,229,6.6,6.4,5.4,7.6
Suisse,Hommes,1997,C33-34,"Poumon, Bronches, Trachée",2395,69.2,64.9,61.4,68.5
Suisse,Hommes,1997,"C38.4,C45.0",Plèvre,114,3.3,3,2.3,3.9
Suisse,Hommes,1997,C40-41,"Os, Articulations, Cartilage",56,1.6,1.6,1,2.2
Suisse,Hommes,1997,C43,Mélanome,740,21.4,20.1,18.2,22.2
Suisse,Hommes,1997,"C47,C49",Tissus mous,150,4.3,4.1,3.2,5.1
Suisse,Hommes,1997,C50,Sein,36,1,1,0.6,1.5
Suisse,Hommes,1997,C61,Prostate,4371,126.3,114.2,109.6,119
Suisse,Hommes,1997,C62,Testicule,322,9.3,8.7,7.4,10.1
Suisse,Hommes,1997,C64,Rein,425,12.3,11.6,10.2,13.3
Suisse,Hommes,1997,C67,Vessie,703,20.3,18.6,16.8,20.5
Suisse,Hommes,1997,"C65-66,C68",Autres organes urinaires,55,1.6,1.5,1,2.1
Suisse,Hommes,1997,C69,Œil,43,1.2,1.2,0.8,1.8
Suisse,Hommes,1997,C70-72,Cerveau et Système nerveux central,275,8,7.6,6.4,8.9
Suisse,Hommes,1997,C73,Thyroïde,88,2.6,2.4,1.8,3.1
Suisse,Hommes,1997,C81,Lymphome de Hodgkin,107,3.1,3,2.3,3.9
Suisse,Hommes,1997,"C82-86,C96",Lymphome non hodgkinien,616,17.8,16.5,14.8,18.4
Suisse,Hommes,1997,C90,Myélome multiple,232,6.7,6.2,5.1,7.3
Suisse,Hommes,1997,C91-95,Leucémie,496,14.3,13.4,11.8,15.1
Suisse,Hommes,1997,C91,Leucémie lymphoïde,255,7.4,7.1,5.9,8.3
Suisse,Hommes,1997,C92-94,Leucémie myéloïde,233,6.7,6.2,5.1,7.3
Suisse,Hommes,1997,Other_C-code,Autres localisations du cancer,593,17.1,15.9,14.2,17.8
Suisse,Hommes,1997,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),16585,479.1,443.9,434.7,453.2
Suisse,Hommes,1998,C00-14,Cavité buccale et pharynx,694,20,19.3,17.4,21.3
Suisse,Hommes,1998,C15,Œsophage,337,9.7,9.1,7.9,10.5
Suisse,Hommes,1998,C16,Estomac,596,17.2,15.6,13.9,17.4
Suisse,Hommes,1998,C17,Intestin grêle,95,2.7,2.5,1.8,3.2
Suisse,Hommes,1998,C18-20,Côlon et Rectum,2020,58.2,53,49.9,56.2
Suisse,Hommes,1998,C21,Anus et Canal anal,36,1,1,0.6,1.5
Suisse,Hommes,1998,C22,Foie,385,11.1,10.2,8.9,11.7
Suisse,Hommes,1998,C23-24,Vésicule et voies biliaires extra-hépat.,105,3,2.8,2.1,3.6
Suisse,Hommes,1998,C25,Pancréas,477,13.7,12.7,11.2,14.3
Suisse,Hommes,1998,C32,Larynx,225,6.5,6.2,5.2,7.4
Suisse,Hommes,1998,C33-34,"Poumon, Bronches, Trachée",2445,70.4,65.7,62.2,69.3
Suisse,Hommes,1998,"C38.4,C45.0",Plèvre,139,4,3.6,2.8,4.6
Suisse,Hommes,1998,C40-41,"Os, Articulations, Cartilage",36,1,1,0.6,1.6
Suisse,Hommes,1998,C43,Mélanome,673,19.4,17.9,16.1,19.8
Suisse,Hommes,1998,"C47,C49",Tissus mous,147,4.2,3.9,3.1,4.9
Suisse,Hommes,1998,C50,Sein,31,0.9,0.8,0.5,1.3
Suisse,Hommes,1998,C61,Prostate,4741,136.5,122.9,118.1,127.8
Suisse,Hommes,1998,C62,Testicule,384,11.1,10.1,8.7,11.6
Suisse,Hommes,1998,C64,Rein,469,13.5,12.5,11,14.2
Suisse,Hommes,1998,C67,Vessie,731,21.1,18.9,17.1,20.8
Suisse,Hommes,1998,"C65-66,C68",Autres organes urinaires,69,2,1.8,1.3,2.5
Suisse,Hommes,1998,C69,Œil,32,0.9,0.9,0.5,1.5
Suisse,Hommes,1998,C70-72,Cerveau et Système nerveux central,307,8.9,8.4,7.2,9.8
Suisse,Hommes,1998,C73,Thyroïde,108,3.1,2.8,2.2,3.7
Suisse,Hommes,1998,C81,Lymphome de Hodgkin,116,3.3,3.2,2.5,4.1
Suisse,Hommes,1998,"C82-86,C96",Lymphome non hodgkinien,606,17.5,16.3,14.6,18.1
Suisse,Hommes,1998,C90,Myélome multiple,215,6.2,5.5,4.5,6.6
Suisse,Hommes,1998,C91-95,Leucémie,439,12.6,11.8,10.3,13.4
Suisse,Hommes,1998,C91,Leucémie lymphoïde,245,7.1,6.7,5.6,8
Suisse,Hommes,1998,C92-94,Leucémie myéloïde,186,5.4,4.9,4,6
Suisse,Hommes,1998,Other_C-code,Autres localisations du cancer,634,18.3,16.7,15,18.6
Suisse,Hommes,1998,"C00-43,C45-97",Tous les cancers (voir Méthode pour les critères d’inclusion),17293,498.1,457,447.8,466.4
Suisse,Hommes,1999,C00-14,Cavité buccale et pharynx,650,18.6,17.7,15.9,19.6
Suisse,Hommes,1999,C15,Œsophage,322,9.2,8.6,7.4,9.9
Suisse,Hommes,1999,C16,Estomac,550,15.8,14.1,12.6,15.8
Suisse,Hommes,1999,C17,Intestin grêle,88,2.5,2.3,1.7,3
Suisse,Hommes,1999,C18-20,Côlon et Rectum,2034,58.3,52.2,49.1,55.4
Suisse,Hommes,1999,C21,Anus et Canal anal,27,0.8,0.7,0.4,1.2
Suisse,Hommes,1999,C22,Foie,358,10.3,9.3,8.1,10.7
Suisse,Hommes,1999,C23-24,Vésicule et voies biliaires extra-hépat.,86,2.5,2.3,1.7,3
Suisse,Hommes,1999,C25,Pancréas,461,13.2,11.9,10.4,13.4
Suisse,Hommes,1999,C32,Larynx,234,6.7,6.4,5.3,7.6
Suisse,Hommes,1999,C33-34,"Poumon, Bronches, Trachée",2381,68.2,63,59.6,66.5
Suisse,Hommes,1999,"C38.4,C45.0",Plèvre,108,3.1,2.8,2.1,3.7
Suisse,Hommes,1999,C40-41,"Os, Articulations, Cartilage",33,1,1,0.6,1.6
Suisse,Hommes,1999,C43,Mélanome,808,23.2,21.3,19.3,23.4
Suisse,Hommes,1999,"C47,C49",Tissus mous,129,3.7,3.4,2.7,4.4
Suisse,Hommes,1999,C50,Sein,56,1.6,1.5,1,2.1
Suisse,Hommes,1999,C61,Prostate,4739,135.8,120.7,116.1,125.5
Suisse,Hommes,1999,C62,Testicule,368,10.5,9.6,8.3,11.1
Suisse,Hommes,1999,C64,Rein,447,12.8,11.8,10.3,13.4
Suisse,Hommes,1999,C67,Vessie,736,21.1,19,17.2,21
Suisse,Hommes,1999,"C65-66,C68",Autres organes urinaires,62,1.8,1.6,1.1,2.3
Suisse,Hommes,1999,C69,Œil,38,1.1,1,0.6,1.6
Suisse,Hommes,1999,C70-72,Cerveau et Système nerveux central,314,9,8.7,7.4,10.1
Suisse,Hommes,1999,C73,Thyroïde,84,2.4,2.1,1.5,2.8
Suisse,Hommes,1999,C81,Lymphome de Hodgkin,96,2.7,2.6,2,3.5
Suisse,Hommes,1999,"C82-86,C96",Lymphome non hodgkinien,627,18,16.4,14.7,18.2
